action_id,action_type,actor,archive_url,category,country,date,docket,entity,entity_slug,fetched_at,jurisdiction,lead_source,licence,notes,notice,outcome,regulator_ai_flag,regulator_descriptor,right_of_reply,secondary_url,source_url,state,summary,url,verification
reg-ca-on-2026-03-06-lso-a2i-register,A2I provider register,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,regulator-register,CA,2026-03-06,,Access to Innovation participating providers,lso-a2i-register,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose provider-specific approval dates.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Archived participating-providers page lists A2I providers evaluated and approved to provide technology-enabled legal services in Ontario.,True,"""legal services through technology""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario participating-providers page captured March 6, 2026 lists providers approved for the Access to Innovation program. The page states A2I encourages safe and effective legal services through technology and includes AI and automated services in real estate, consumer rights, family, immigration, corporate and estate-planning areas.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-lso-a2i-register,fetched-and-read
reg-ca-on-2026-03-06-legalwills,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,LegalWills,legalwills,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for online estate-planning document creation.,True,"""online platform offering tools and resources""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists LegalWills on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes an online platform that prompts Ontario users for situation-specific information and creates custom legal documents, including wills, powers of attorney and living wills, based on user input.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-legalwills,fetched-and-read
reg-ca-on-2026-03-06-incorporight,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,Incorporight,incorporight,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for incorporation and corporate-maintenance services.,True,"""uses blockchain technology""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists Incorporight on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes an online incorporation and corporate-maintenance platform that lets users create corporations, make changes and complete filings, using blockchain technology to improve platform security.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-incorporight,fetched-and-read
reg-ca-on-2026-03-06-estate-planner,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,eState Planner,estate-planner,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for estate-planning software used by lawyers and advisors.,True,"""lawyer-created software""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists eState Planner on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes lawyer-created software for lawyers and professional advisors that streamlines intake, reduces will-planning errors, supports collaboration and generates documents for lawyers serving estate-planning clients.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-estate-planner,fetched-and-read
reg-ca-on-2026-03-06-clearestate,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,ClearEstate,clearestate,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Listed as an A2I participating provider for estate-planning, settlement and executor services.",True,"""web-based solution""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists ClearEstate on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes a web-based estate-planning, settlement and executor-services solution that generates testamentary documents, guides executors through settlement and facilitates professional estate administration services under A2I oversight.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-clearestate,fetched-and-read
reg-ca-on-2026-03-06-airfairness,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,Airfairness,airfairness,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for AI-powered air-passenger compensation claims.,True,"""AI-powered platform""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists Airfairness on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes an AI-powered platform for air-passenger compensation that verifies eligibility, assembles evidence, files claims and tracks outcomes from intake to payout.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-airfairness,fetched-and-read
upl-us-2025-09-09-upsolve-v-james,appellate remand opinion,U.S. Court of Appeals for the Second Circuit,,upl-litigation,US,2025-09-09,22-1345,"Upsolve, Inc.",upsolve,2026-09-07T13:20:17.932-07:00,us-state,"[""AGENT-BRIEF.md"", ""CourtListener anonymous opinion search""]",court-opinion-pd,"CourtListener provided a ca2.uscourts.gov download_url, but the court URL returned a removed-resource message when fetched; the storage copy was read.","Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Preliminary injunction vacated and case remanded for the district court to apply the correct level of First Amendment scrutiny.,False,,open,http://www.ca2.uscourts.gov/decisions/isysquery/18e586a6-8d72-4353-9612-e3aedbe31c65/3/doc/22-1345_opn.pdf,https://storage.courtlistener.com/pdf/2025/09/09/upsolve_inc._v._james.pdf,New York,"The Second Circuit vacates a preliminary injunction in Upsolve v. James on September 9, 2025 and remands. The plaintiffs seek to give free debt-collection advice without lawyer licensure. The court holds the district court applied the wrong scrutiny level to New York’s unauthorized-practice statutes as applied to the proposed program.",https://safelegalai.com/regulation/enforcement/upl-us-2025-09-09-upsolve-v-james,fetched-and-read
reg-ca-bc-2025-07-17-jointly-solutions,innovation sandbox no-action letter,Law Society of British Columbia,http://web.archive.org/web/20260511082837/https://www.lawsociety.bc.ca/getContentAsset/627be8b1-a1cd-4056-a457-13d5432c2d42/dfc3d011-8f63-43f6-9ed8-4b444333a1d0/Jointly_2025-07-17?language=en-CA,sandbox-authorisation,CA,2025-07-17,,Jointly Solutions Ltd.,jointly,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""LSBC approved participants page""]",quoted-short,,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",No-action letter allows Jointly to automate family-law agreement creation subject to conditions.,True,"""online platform called Jointly""",open,,https://www.lawsociety.bc.ca/getContentAsset/627be8b1-a1cd-4056-a457-13d5432c2d42/dfc3d011-8f63-43f6-9ed8-4b444333a1d0/Jointly_2025-07-17?language=en-CA,British Columbia,"The Law Society of British Columbia issues Jointly Solutions Ltd. a no-action letter dated July 17, 2025. The letter allows Jointly to offer family-law services through an online platform that automates creation of cohabitation, prenuptial, marriage and separation agreements for self-represented parties, subject to sandbox conditions.",https://safelegalai.com/regulation/enforcement/reg-ca-bc-2025-07-17-jointly-solutions,fetched-and-read
reg-ca-on-2025-06-25-skylaunch,A2I update report approval listing,Law Society of Ontario,https://web.archive.org/web/20260907213518/https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,sandbox-authorisation,CA,2025-06-25,,SkyLaunch,skylaunch,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""LSO June 2025 A2I update report""]",quoted-short,The report says the providers were approved since the 2024 report; it does not state each precise approval day.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed in the June 2025 A2I update as approved since the 2024 report.,True,"""self-guided online tool""",open,,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,Ontario,"The Law Society of Ontario’s June 25, 2025 A2I update report lists SkyLaunch among participants approved since the 2024 report. The report describes a self-guided online tool and user-friendly portal for Ontario incorporations, created by SkyLaw legal professionals to serve solopreneurs and others needing a corporation.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2025-06-25-skylaunch,fetched-and-read
reg-ca-on-2025-06-25-plaid-fertility-law,A2I update report approval listing,Law Society of Ontario,https://web.archive.org/web/20260907213518/https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,sandbox-authorisation,CA,2025-06-25,,Plaid Fertility Law,plaid-fertility-law,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""LSO June 2025 A2I update report""]",quoted-short,The report says the providers were approved since the 2024 report; it does not state each precise approval day.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed in the June 2025 A2I update as approved since the 2024 report.,True,"""web application""",open,,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,Ontario,"The Law Society of Ontario’s June 25, 2025 A2I update report lists Plaid Fertility Law among participants approved since the 2024 report. The report describes a web application that lets users generate, share and collaborate on third-party reproduction agreements with guidance from experienced legal counsel.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2025-06-25-plaid-fertility-law,fetched-and-read
reg-ca-on-2025-06-25-philer,A2I update report approval listing,Law Society of Ontario,https://web.archive.org/web/20260907213518/https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,sandbox-authorisation,CA,2025-06-25,,Philer,philer,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""LSO June 2025 A2I update report""]",quoted-short,The report says the providers were approved since the 2024 report; it does not state each precise approval day.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed in the June 2025 A2I update as approved since the 2024 report.,True,"""licensed real estate lawyers and AI""",open,,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,Ontario,"The Law Society of Ontario’s June 25, 2025 A2I update report lists Philer among participants approved since the 2024 report. The report describes real-estate closing services that automate processes from onboarding to legal completion and use licensed real-estate lawyers and AI to support buyers, sellers and professionals.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2025-06-25-philer,fetched-and-read
reg-ca-on-2025-06-25-jointly,A2I update report approval listing,Law Society of Ontario,https://web.archive.org/web/20260907213518/https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,sandbox-authorisation,CA,2025-06-25,,Jointly,jointly,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""LSO June 2025 A2I update report""]",quoted-short,The report says the providers were approved since the 2024 report; it does not state each precise approval day.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed in the June 2025 A2I update as approved since the 2024 report.,True,"""uses technology to guide users""",open,,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/about/convocation/2025/convocation-june-2025-futures-committee-report.pdf,Ontario,"The Law Society of Ontario’s June 25, 2025 A2I update report lists Jointly among participants approved since the 2024 report. The report describes an online platform that uses technology to guide Ontario residents through questions and create legally compliant, personalized relationship agreements in family-law matters.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2025-06-25-jointly,fetched-and-read
